selected_index,symbol,state,detail,price_history_rows,data_timestamp,provider,provider_error,avg_dollar_volume,market_cap,final_score
443,IGC,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,840.3571300000001,,
444,UTI,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,69018012.35,2162810880.0,54.73
445,IBAC,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,64803.505755519865,,
446,AORT,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,16421634.185853291,,
447,HIPO,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,3088331.502893448,,
448,SBC,filtered_liquidity,price below minimum 5.0,504,2026-06-09T04:00:00+00:00,alpaca,,18768.973000000005,,
449,RCKT,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,331506.824,,
450,CLWT,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,240.14175,,
451,DSP,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,3491848.604089546,,
452,WSR,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,9029629.154208755,,
453,RYAM,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,7969208.339023972,,
454,MLYS,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,50713503.73,2131672064.0,15.97
455,SDGR,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,18969023.28180809,,
456,CBNA,filtered_liquidity,fallback average dollar volume below minimum 20000000,420,2026-06-09T00:00:00,yfinance,,195955.19314746856,,
457,LXU,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,12269843.797122383,,
458,TROX,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,23411072.08,1129430528.0,18.19
459,USAR,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,448364275.69,5113377792.0,9.4
460,CHD,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,192331660.14,22990637056.0,69.19
461,MRP,ranked,ranked and included in full_ranking.csv,337,2026-06-09T00:00:00,yfinance,,43638279.03,4865203712.0,60.97
462,ASB,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,45109072.05,5363353600.0,80.34
463,GNW,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,22295496.85,3336010496.0,56.07
464,HUMA,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,235811.979965,,
465,WELL,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,32150618.53,145961926656.0,53.3
466,UTSI,filtered_liquidity,price below minimum 5.0,505,2026-06-08T04:00:00+00:00,alpaca,,157.1595,,
467,CNVS,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,5189.755500000001,,
468,WMG,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,90649560.57,15314631680.0,53.22
469,AGBK,provider_partial,missing or insufficient price history after fallback,82,2026-06-09T00:00:00,yfinance,,,,
